price,baths,area,bedrooms,price_per_sqft,city_location
25000000,5,2178.008,6,11478.378408160119,Faisalabad_Gulberg
25000000,3,2178.008,7,11478.378408160119,Faisalabad_Gulberg
9000000,2,816.7529999999999,2,11019.243271833713,Faisalabad_Gulistan Colony No 1
8000000,3,1361.2549999999999,3,5876.929744977981,Faisalabad_Gulistan Colony No 1
20000000,3,2722.5099999999998,5,7346.162181222476,Faisalabad_Gulistan Colony No 1
6000000,1,1361.2549999999999,3,4407.697308733485,Faisalabad_Gulistan Colony No 1
14000000,4,1361.2549999999999,4,10284.627053711465,Faisalabad_Gulistan Colony No 1
12000000,3,15246.055999999999,3,787.0888051309795,Faisalabad_Gulistan Colony No 1
4500000,2,816.7529999999999,2,5509.621635916857,Faisalabad_Gulistan Colony No 1
7500000,3,9528.785,5,787.0888051309795,Faisalabad_Gulistan Colony No 1
4000000,2,1361.2549999999999,3,2938.4648724889903,Faisalabad_Jaranwala
7500000,2,2722.5099999999998,5,2754.8108179584283,Faisalabad_Jaranwala
3500000,3,1361.2549999999999,4,2571.1567634278663,Faisalabad_Jaranwala
4000000,1,816.7529999999999,2,4897.441454148317,Faisalabad_Jaranwala
8000000,4,1633.5059999999999,5,4897.441454148317,Faisalabad_Jaranwala
4800000,3,10073.286999999998,3,476.5078171603768,Faisalabad_Jaranwala
11000000,6,3811.5139999999997,8,2885.992285480258,Faisalabad_Jaranwala Road
2500000,1,816.7529999999999,2,3060.9009088426983,Faisalabad_Jaranwala Road
3800000,4,1361.2549999999999,4,2791.5416288645406,Faisalabad_Jaranwala Road
2700000,1,816.7529999999999,2,3305.772981550114,Faisalabad_Jaranwala Road
19500000,3,5445.0,4,3581.267217630854,Faisalabad_Jaranwala Road
6000000,2,1361.2549999999999,2,4407.697308733485,Faisalabad_Jaranwala Road
4550000,2,1361.2549999999999,3,3342.503792456226,Faisalabad_Jaranwala Road
13500000,6,3267.0119999999997,8,4132.216226937642,Faisalabad_Jaranwala Road
4800000,4,6806.275,4,705.2315693973576,Faisalabad_Jhang Road
7500000,3,1633.5059999999999,3,4591.351363264047,Faisalabad_Jhang Road
6000000,3,1361.2549999999999,3,4407.697308733485,Faisalabad_Jhang Road
17500000,4,2722.5099999999998,9,6427.891908569666,Faisalabad_Jhang Road
7500000,3,2722.5099999999998,3,2754.8108179584283,Faisalabad_Khayaban Colony
4200000,3,6806.275,3,617.077623222688,Faisalabad_Khayaban Colony
16500000,7,4083.7649999999994,7,4040.389199672362,Faisalabad_Khayaban Colony
10500000,5,2178.008,5,4820.91893142725,Faisalabad_Khayaban Colony
15000000,5,2994.7609999999995,5,5008.746941742597,Faisalabad_Khayaban Colony 2
20000000,3,3811.5139999999997,4,5247.258700873197,Faisalabad_Khayaban Colony 2
11000000,3,2722.5099999999998,3,4040.3891996723614,Faisalabad_Khayaban Colony 2
23000000,6,5445.0,6,4224.058769513315,Faisalabad_Khayaban Colony 2
20000000,3,5445.0,3,3673.094582185491,Faisalabad_Khayaban Colony 2
7500000,3,1361.2549999999999,3,5509.621635916857,Faisalabad_Lahore - Sheikhupura - Faisalabad Road
5100000,2,1633.5059999999999,3,3122.1189270195523,Faisalabad_Lahore - Sheikhupura - Faisalabad Road
4500000,2,9528.785,5,472.2532830785877,Faisalabad_Lahore - Sheikhupura - Faisalabad Road
61000000,5,76230.0,5,800.209891118982,Faisalabad_Lahore - Sheikhupura - Faisalabad Road
3000000,2,6806.275,4,440.7697308733485,Faisalabad_Lahore - Sheikhupura - Faisalabad Road
2700000,2,6806.275,2,396.69275778601366,Faisalabad_Lahore - Sheikhupura - Faisalabad Road
11000000,4,1361.2549999999999,4,8080.778399344723,Faisalabad_Madina Town
11000000,3,1361.2549999999999,3,8080.778399344723,Faisalabad_Madina Town
45000000,6,5445.0,6,8264.462809917355,Faisalabad_Madina Town
22500000,4,2722.5099999999998,6,8264.432453875284,Faisalabad_Madina Town
40000000,5,5445.0,5,7346.189164370982,Faisalabad_Madina Town
40000000,2,24230.338999999996,3,1650.8229620724665,Faisalabad_Madina Town
12500000,4,1905.7569999999998,4,6559.073376091496,Faisalabad_Madina Town
80000,6,5445.0,7,14.692378328741965,Faisalabad_Madina Town
17500000,3,2722.5099999999998,3,6427.891908569666,Faisalabad_Madina Town
27000,3,1633.5059999999999,3,16.52886490775057,Faisalabad_Madina Town
35000,3,1633.5059999999999,3,21.426306361898888,Faisalabad_Madina Town
100000,6,48460.67799999999,8,2.0635287025905833,Faisalabad_Madina Town
22000,3,1089.004,3,20.201945998361808,Faisalabad_Madina Town
9500000,4,1361.2549999999999,4,6978.854072161352,Faisalabad_Madina Town
95000,9,4083.7649999999994,9,23.26284690720451,Faisalabad_Madina Town
20000,2,1089.004,2,18.365405453056187,Faisalabad_Madina Town
2000000,1,6806.275,3,293.846487248899,Faisalabad_Madina Town
11000000,3,1361.2549999999999,3,8080.778399344723,Faisalabad_Madina Town
6000000,1,1089.004,3,5509.621635916857,Faisalabad_Madina Town
10000000,4,1361.2549999999999,4,7346.162181222476,Faisalabad_Madina Town
7500000,2,1361.2549999999999,2,5509.621635916857,Faisalabad_Madina Town
450000,10,27225.0,10,16.52892561983471,Faisalabad_Madina Town
18000000,7,2994.7609999999995,7,6010.496330091117,Faisalabad_Madina Town
5600000,1,2178.008,1,2571.1567634278663,Faisalabad_Manawala
7000000,2,2178.008,2,3213.945954284833,Faisalabad_Manawala
6500000,3,1633.5059999999999,5,3979.1711814955074,Faisalabad_Manawala
5000000,3,1361.2549999999999,3,3673.081090611238,Faisalabad_Manawala
4500000,1,9528.785,2,472.2532830785877,Faisalabad_Mansoorabad
5300000,4,9528.785,5,556.2094222925588,Faisalabad_Mansoorabad
7000000,5,9528.785,5,734.6162181222475,Faisalabad_Mansoorabad
6500000,2,1361.2549999999999,4,4775.0054177946095,Faisalabad_Mansoorabad
4000000,2,6806.275,3,587.692974497798,Faisalabad_Mansoorabad
6000000,2,1361.2549999999999,3,4407.697308733485,Faisalabad_Mansoorabad
6500000,2,1361.2549999999999,3,4775.0054177946095,Faisalabad_Mansoorabad
2300000,1,6806.275,3,337.92346033623386,Faisalabad_Mansoorabad
20000,2,1089.004,2,18.365405453056187,Faisalabad_Mansoorabad
3250000,2,6806.275,3,477.5005417794609,Faisalabad_Mansoorabad
4700000,2,6806.275,3,690.5392450349127,Faisalabad_Mansoorabad
6000000,2,2722.5099999999998,2,2203.8486543667427,Faisalabad_Millat Town
13000000,4,2722.5099999999998,5,4775.0054177946095,Faisalabad_Millat Town
6500000,4,1905.7569999999998,4,3410.718155567578,Faisalabad_Millat Town
2500000,2,816.7529999999999,2,3060.9009088426983,Faisalabad_Millat Town
7500000,2,3811.5139999999997,2,1967.7220128274487,Faisalabad_Millat Town
9500000,6,1905.7569999999998,6,4984.895765829537,Faisalabad_Millat Town
9500000,4,1905.7569999999998,5,4984.895765829537,Faisalabad_Millat Town
15000000,6,2722.5099999999998,6,5509.621635916857,Faisalabad_Millat Town
15000000,4,2722.5099999999998,5,5509.621635916857,Faisalabad_Millat Town
8000000,2,2722.5099999999998,3,2938.4648724889903,Faisalabad_Millat Town
6000000,3,1361.2549999999999,3,4407.697308733485,Faisalabad_Millat Town
8000000,2,2722.5099999999998,3,2938.4648724889903,Faisalabad_Millat Town
9500000,5,1905.7569999999998,5,4984.895765829537,Faisalabad_Millat Town
13500000,3,5445.0,3,2479.3388429752067,Faisalabad_Millat Town
100000,5,103455.0,5,0.9666038374172345,Faisalabad_Muslim Town
75000,4,5445.0,4,13.774104683195592,Faisalabad_Muslim Town
12500000,5,2178.008,5,5739.189204080059,Faisalabad_Muslim Town
95000,3,2722.5099999999998,3,34.89427036080676,Faisalabad_Muslim Town
16500000,4,2994.7609999999995,6,5509.6216359168575,Faisalabad_Muslim Town
27000000,4,42198.905,4,639.8270286871187,Faisalabad_Muslim Town
7500000,3,1361.2549999999999,3,5509.621635916857,Faisalabad_Muslim Town
8500000,3,20963.326999999997,3,405.46999052201977,Faisalabad_Muslim Town
26500000,6,31308.864999999998,7,846.4056426191113,Faisalabad_Muslim Town
70000,6,3267.0119999999997,6,21.426306361898888,Faisalabad_Muslim Town
20000000,3,3539.263,3,5650.89398555575,Faisalabad_Muslim Town
6650000,4,9528.785,4,697.8854072161351,Faisalabad_Muslim Town
13500000,4,31308.864999999998,6,431.1877802021888,Faisalabad_Muslim Town
2500000,1,6806.275,2,367.3081090611238,Faisalabad_Narwala Road
2500000,1,6806.275,2,367.3081090611238,Faisalabad_Narwala Road
4500000,1,1089.004,2,4132.216226937642,Faisalabad_Narwala Road
5500000,3,1089.004,3,5050.486499590452,Faisalabad_Narwala Road
12500000,3,13340.298999999999,4,937.0104822987852,Faisalabad_Narwala Road
2500000,1,816.7529999999999,2,3060.9009088426983,Faisalabad_Narwala Road
8500000,2,1361.2549999999999,3,6244.237854039105,Faisalabad_Nisar Colony
4400000,2,816.7529999999999,2,5387.185599563149,Faisalabad_Nisar Colony
7500000,2,1361.2549999999999,2,5509.621635916857,Faisalabad_Nisar Colony
9000000,4,1361.2549999999999,4,6611.545963100228,Faisalabad_Nisar Colony
11000000,3,1633.5059999999999,5,6733.981999453936,Faisalabad_Nisar Colony
7000000,3,1361.2549999999999,4,5142.313526855733,Faisalabad_Nisar Colony
9000000,4,1361.2549999999999,4,6611.545963100228,Faisalabad_Nisar Colony
8000000,2,1361.2549999999999,4,5876.929744977981,Faisalabad_Nisar Colony
3200000,1,8984.283,4,356.1775603016958,Faisalabad_Nishatabad
20000,2,1361.2549999999999,2,14.692324362444952,Faisalabad_Nishatabad
4000000,3,2178.008,7,1836.540545305619,Faisalabad_Nishatabad
3000000,2,6806.275,3,440.7697308733485,Faisalabad_Nishatabad
7000000,3,12251.294999999998,5,571.368169650637,Faisalabad_Nishatabad
2900000,1,7078.526,1,409.6898139527919,Faisalabad_Nishatabad
3500000,2,6806.275,2,514.2313526855733,Faisalabad_Nishatabad
2000000,1,6806.275,2,293.846487248899,Faisalabad_Nishatabad
2700000,1,10073.286999999998,3,268.035647152712,Faisalabad_Nishatabad
22000,4,11434.542,4,1.9239948569868388,Faisalabad_Nishatabad
3500000,3,9528.785,3,367.30810906112373,Faisalabad_Others
5025000,2,1361.2549999999999,2,3691.446496064294,Faisalabad_Others
2700000,2,6261.772999999999,2,431.1877802021888,Faisalabad_Others
2700000,1,2178.008,1,1239.6648680812928,Faisalabad_Others
3300000,2,12251.294999999998,2,269.3592799781575,Faisalabad_Others
4500000,2,1361.2549999999999,3,3305.772981550114,Faisalabad_Others
9000000,3,9256.534,8,972.2861710441512,Faisalabad_Others
4900000,3,6806.275,4,719.9238937598026,Faisalabad_Others
6500000,3,2722.5099999999998,6,2387.5027088973047,Faisalabad_Others
17000000,2,2722.5099999999998,2,6244.237854039105,Faisalabad_Peoples Colony No 1
20000000,2,20418.824999999997,4,979.4882908296635,Faisalabad_Peoples Colony No 1
37500000,7,4083.7649999999994,8,9182.702726528094,Faisalabad_Peoples Colony No 1
55000,3,1089.004,3,50.50486499590452,Faisalabad_Peoples Colony No 1
17500000,4,17696.315,4,988.9064474722563,Faisalabad_Peoples Colony No 1
11000000,3,9528.785,4,1154.3969141921032,Faisalabad_Peoples Colony No 1
200000,5,59895.0,5,3.3391768928959014,Faisalabad_Peoples Colony No 1
3700000,2,4628.267,2,799.4352961918576,Faisalabad_Peoples Colony No 1
85000,6,4083.7649999999994,6,20.814126180130348,Faisalabad_Peoples Colony No 1
30000000,2,20418.824999999997,3,1469.2324362444951,Faisalabad_Peoples Colony No 1
9000000,2,14429.302999999998,3,623.7307512358706,Faisalabad_Peoples Colony No 1
100000,4,2722.5099999999998,4,36.730810906112374,Faisalabad_Peoples Colony No 1
100000,6,5445.0,10,18.365472910927455,Faisalabad_Peoples Colony No 1
100000,6,4083.7649999999994,6,24.487207270741585,Faisalabad_Peoples Colony No 1
8500000,3,1361.2549999999999,3,6244.237854039105,Faisalabad_Peoples Colony No 2
13000000,4,2722.5099999999998,6,4775.0054177946095,Faisalabad_Peoples Colony No 2
15000000,5,2722.5099999999998,5,5509.621635916857,Faisalabad_Peoples Colony No 2
12500000,4,2722.5099999999998,8,4591.351363264047,Faisalabad_Peoples Colony No 2
14000000,3,2178.008,3,6427.891908569666,Faisalabad_Peoples Colony No 2
35000000,4,4900.518,5,7142.1021206329615,Faisalabad_Peoples Colony No 2
12000000,5,2178.008,5,5509.621635916857,Faisalabad_Peoples Colony No 2
12500000,4,2178.008,5,5739.189204080059,Faisalabad_Peoples Colony No 2
8000000,3,1361.2549999999999,3,5876.929744977981,Faisalabad_Peoples Colony No 2
13000000,2,1905.7569999999998,2,6821.436311135156,Faisalabad_Peoples Colony No 2
20000000,4,2994.7609999999995,6,6678.329255656797,Faisalabad_Peoples Colony No 2
10000000,3,2178.008,3,4591.351363264047,Faisalabad_Peoples Colony No 2
15000000,4,2450.259,5,6121.801817685396,Faisalabad_Peoples Colony No 2
25000,3,1361.2549999999999,4,18.365405453056187,Faisalabad_Rachna Town
35000,4,2722.5099999999998,4,12.855783817139333,Faisalabad_Rachna Town
6000000,1,1361.2549999999999,2,4407.697308733485,Faisalabad_Rachna Town
55000,4,2722.5099999999998,5,20.201945998361808,Faisalabad_Rachna Town
4200000,3,6806.275,3,617.077623222688,Faisalabad_Rachna Town
4500000,3,6806.275,3,661.1545963100227,Faisalabad_Rachna Town
16000,2,1361.2549999999999,2,11.75385948995596,Faisalabad_Rachna Town
5000000,1,12251.294999999998,3,408.12012117902646,Faisalabad_Samanabad
18000000,4,20418.824999999997,7,881.5394617466972,Faisalabad_Samanabad
3500000,2,7623.027999999999,2,459.13513632640473,Faisalabad_Samanabad
3800000,3,6806.275,3,558.3083257729081,Faisalabad_Samanabad
25000,2,1361.2549999999999,3,18.365405453056187,Faisalabad_Samanabad
15000000,3,9528.785,6,1574.177610261959,Faisalabad_Samanabad
5780000,3,9528.785,3,606.5831058209415,Faisalabad_Samanabad
7500000,4,9528.785,5,787.0888051309795,Faisalabad_Samanabad
2850000,2,1905.7569999999998,4,1495.468729748861,Faisalabad_Samundari Road
5500000,1,2722.5099999999998,6,2020.1945998361807,Faisalabad_Samundari Road
2200000,1,3267.0119999999997,2,673.3981999453936,Faisalabad_Samundari Road
2900000,1,816.7529999999999,2,3550.64505425753,Faisalabad_Samundari Road
11000000,3,2722.5099999999998,4,4040.3891996723614,Faisalabad_Samundari Road
2500000,1,816.7529999999999,1,3060.9009088426983,Faisalabad_Samundari Road
4000000,3,1361.2549999999999,3,2938.4648724889903,Faisalabad_Samundari Road
3800000,3,6806.275,3,558.3083257729081,Faisalabad_Samundari Road
4000000,2,6806.275,3,587.692974497798,Faisalabad_Samundari Road
9000000,3,14157.052,5,635.7255733750219,Faisalabad_Samundari Road
9000000,3,14157.052,5,635.7255733750219,Faisalabad_Samundari Road
13000000,5,3267.0119999999997,6,3979.1711814955074,Faisalabad_Samundari Road
7500000,2,9528.785,5,787.0888051309795,Faisalabad_Samundari Road
6000000,2,2722.5099999999998,3,2203.8486543667427,Faisalabad_Samundari Road
6500000,4,9528.785,4,682.1436311135155,Faisalabad_Sargodha Road
100000,6,65340.0,6,1.5304560759106214,Faisalabad_Sargodha Road
9000000,4,3267.0119999999997,4,2754.8108179584283,Faisalabad_Sargodha Road
9000000,3,12251.294999999998,4,734.6162181222476,Faisalabad_Sargodha Road
2500000,1,9528.785,3,262.36293504365983,Faisalabad_Sargodha Road
9000000,2,1633.5059999999999,4,5509.621635916857,Faisalabad_Sargodha Road
35000,3,1361.2549999999999,3,25.711567634278666,Faisalabad_Sargodha Road
20000,3,1089.004,3,18.365405453056187,Faisalabad_Sargodha Road
17500000,6,2722.5099999999998,6,6427.891908569666,Faisalabad_Satiana Road
9500000,3,2178.008,4,4361.783795100845,Faisalabad_Satiana Road
7500000,4,1361.2549999999999,4,5509.621635916857,Faisalabad_Satiana Road
15500000,5,2722.5099999999998,5,5693.275690447418,Faisalabad_Satiana Road
16000000,4,2722.5099999999998,6,5876.929744977981,Faisalabad_Satiana Road
3500000,2,6261.772999999999,3,558.9471224843188,Faisalabad_Satiana Road
2600000,2,8712.032,3,298.4378386121631,Faisalabad_Satiana Road
2600000,2,8712.032,2,298.4378386121631,Faisalabad_Satiana Road
15000000,5,2722.5099999999998,5,5509.621635916857,Faisalabad_Satiana Road
14000000,4,2722.5099999999998,7,5142.313526855733,Faisalabad_Satiana Road
7500000,4,1361.2549999999999,4,5509.621635916857,Faisalabad_Satiana Road
28000000,6,5445.0,6,5142.332415059688,Faisalabad_Satiana Road
14000000,4,2722.5099999999998,7,5142.313526855733,Faisalabad_Satiana Road
10000,1,816.7529999999999,1,12.243603635370793,Faisalabad_Satiana Road
7300000,3,1361.2549999999999,3,5362.698392292407,Faisalabad_Satiana Road
19000000,2,2722.5099999999998,4,6978.854072161352,Faisalabad_Satiana Road
6200000,1,1361.2549999999999,2,4554.620552357935,Faisalabad_Satiana Road
12000000,6,2722.5099999999998,8,4407.697308733485,Faisalabad_Satiana Road
22500000,5,3539.263,5,6357.2557337502185,Faisalabad_Satiana Road
17500000,6,2722.5099999999998,6,6427.891908569666,Faisalabad_Satiana Road
